;AET;ANTM;CI;FLVEX
1;81.08;107.61;91.97;10.87
2;82.06;108.38;92.62;10.94
3;82.92;110.32;92.84;11
4;83.63;110.16;93.66;10.95
5;82.45;109.13;92.43;10.89
6;81.07;109.46;91.92;10.93
7;81.19;110.87;92.52;10.9
8;81.25;110.76;92.3;10.9
9;81.61;110.9;93.36;10.94
10;82.16;113.15;94.22;10.94
11;82.38;112.77;94.05;11.02
12;82.16;112.18;93.96;10.89
13;83.74;113.44;94.49;10.99
14;84.64;114.93;96.32;10.96
15;83.99;114.43;95.53;11.03
16;84.87;115.32;96.39;11.04
17;84.54;115.44;96.8;11.04
18;84.16;115.25;96.75;10.99
19;83.39;113.51;95.76;11
20;84.82;115.57;96.87;10.94
21;81.88;112.55;94.63;10.92
22;79.74;112.47;93.5;10.66
23;77.53;109.81;90.04;10.74
24;78.73;111;90.76;10.62
25;79.6;111.6;91.81;10.63
26;78.46;110.44;90.87;10.56
27;78.32;111.34;91.47;10.68
28;75.22;107.29;88.75;10.71
29;76.74;108.58;90.6;10.78
30;75.83;107.39;90.01;10.83
31;75.43;108.66;90.47;10.81
32;77.06;110.35;91.34;10.9
33;77.64;112.48;92.97;10.95
34;77.72;111.78;92.56;10.98
35;78.04;112.4;93.15;11.03
36;79.12;113.62;93.68;11.01
37;79.51;113.07;93.95;11.07
38;79.35;113.12;93.97;11.08
39;78.77;112.87;93.14;11.11
40;78.95;113.22;93.28;11.1
41;80.1;114.67;93.76;11.15
42;81.11;115.78;94.48;11.14
43;81.92;116.25;94.53;11.15
44;82.13;116.51;94.6;11.18
45;81.93;115.64;94.2;11.15
46;82.43;116.62;94.75;11.08
47;82.97;118.01;95.49;11.12
48;83.94;118.97;96.39;11.14
49;83.95;118.13;96.01;11.08
50;84.94;120.89;95.98;11.09
51;84.41;119.8;94.33;11.18
52;83.69;119.95;93.35;11.19
53;82.2;118.62;92.32;11.25
54;82.12;118.4;91.52;11.24
55;83.35;120.32;93.24;11.14
56;83.15;120.22;94.09;11.05
57;83.91;122.16;95.21;11.14
58;83.69;122.04;95.25;10.98
59;83.05;121.82;94.7;11.06
60;82.12;119.36;92.98;11.03
61;83.75;124.17;94.82;10.98
62;82.06;120.69;91.72;10.83
63;82.03;120.8;91.82;10.96
64;81.34;121.31;91.24;10.93
65;81;119.62;90.69;10.76
66;79.82;118.15;89.44;10.95
